Time (UTC),(cms)
01-01-2001,27
01-02-2001,27
01-03-2001,26.944
01-04-2001,26.02
01-05-2001,25.913
01-06-2001,25.106
01-07-2001,25.05
01-08-2001,25.055
01-09-2001,24.477
01-10-2001,24.67
01-11-2001,25.05
01-12-2001,25.45
01-13-2001,24.988
01-14-2001,24.85
01-15-2001,24.734
01-16-2001,24.671
01-17-2001,24.169
01-18-2001,23.5
01-19-2001,23.527
01-20-2001,23.781
01-21-2001,23.78
01-22-2001,23.766
01-23-2001,23.535
01-24-2001,24.217
01-25-2001,24
01-26-2001,24.51
01-27-2001,24.706
01-28-2001,24
01-29-2001,23.944
01-30-2001,24.615
01-31-2001,25.125
02-01-2001,25.159
02-02-2001,25.32
02-03-2001,24.393
02-04-2001,23
02-05-2001,21.855
02-06-2001,21.479
02-07-2001,22.096
02-08-2001,22.479
02-09-2001,23.124
02-10-2001,23.213
02-11-2001,23
02-12-2001,22.944
02-13-2001,22.321
02-14-2001,22.309
02-15-2001,22.01
02-16-2001,21.115
02-17-2001,21.742
02-18-2001,21
02-19-2001,21.216
02-20-2001,21.392
02-21-2001,21.84
02-22-2001,22.78
02-23-2001,21.106
02-24-2001,21
02-25-2001,21
02-26-2001,22
02-27-2001,22.1
02-28-2001,21.631
03-01-2001,21.267
03-02-2001,20.751
03-03-2001,20.752
03-04-2001,20.57
03-05-2001,20.363
03-06-2001,20.265
03-07-2001,19.65
03-08-2001,19.751
03-09-2001,19.932
03-10-2001,19.955
03-11-2001,19.63
03-12-2001,19.54
03-13-2001,19.912
03-14-2001,19.7
03-15-2001,19.758
03-16-2001,20.108
03-17-2001,20.131
03-18-2001,19.239
03-19-2001,19.239
03-20-2001,20.099
03-21-2001,20.029
03-22-2001,19.904
03-23-2001,21.623
03-24-2001,22.026
03-25-2001,21.875
03-26-2001,20.861
03-27-2001,21.93
03-28-2001,21.413
03-29-2001,22.954
03-30-2001,23.629
03-31-2001,52.373
04-01-2001,24.766
04-02-2001,22.767
04-03-2001,21.732
04-04-2001,21.009
04-05-2001,21.142
04-06-2001,21.671
04-07-2001,23.805
04-08-2001,24.957
04-09-2001,23.92
04-10-2001,33.546
04-11-2001,33.961
04-12-2001,33.944
04-13-2001,33.915
04-14-2001,52.07
04-15-2001,46.867
04-16-2001,45.103
04-17-2001,38.567
04-18-2001,40.975
04-19-2001,46.034
04-20-2001,43.056
04-21-2001,40.635
04-22-2001,41.469
04-23-2001,39.691
04-24-2001,38.42
04-25-2001,38.28
04-26-2001,60.19
04-27-2001,59.391
04-28-2001,50.783
04-29-2001,52.268
04-30-2001,46.467
05-01-2001,46.631
05-02-2001,47.47
05-03-2001,48.308
05-04-2001,48.566
05-05-2001,53.395
05-06-2001,54.597
05-07-2001,55.799
05-08-2001,59.58
05-09-2001,64.724
05-10-2001,74.056
05-11-2001,93.666
05-12-2001,75.955
05-13-2001,65.278
05-14-2001,54.6
05-15-2001,58.965
05-16-2001,54.04
05-17-2001,53.298
05-18-2001,57.725
05-19-2001,53.98
05-20-2001,58.666
05-21-2001,63.352
05-22-2001,63.849
05-23-2001,61.686
05-24-2001,56.937
05-25-2001,66
05-26-2001,76.894
05-27-2001,65.002
05-28-2001,53.692
05-29-2001,58.058
05-30-2001,71.088
05-31-2001,106.434
06-01-2001,93.164
06-02-2001,101.25
06-03-2001,118.254
06-04-2001,129.482
06-05-2001,118.743
06-06-2001,115.365
06-07-2001,93.122
06-08-2001,87.902
06-09-2001,81.9
06-10-2001,79.243
06-11-2001,77.845
06-12-2001,85.346
06-13-2001,83.954
06-14-2001,97.553
06-15-2001,87.56
06-16-2001,88.64
06-17-2001,105.85
06-18-2001,137.842
06-19-2001,204.224
06-20-2001,310.464
06-21-2001,283.748
06-22-2001,275.276
06-23-2001,253.116
06-24-2001,235.856
06-25-2001,158.36
06-26-2001,148.65
06-27-2001,137.62
06-28-2001,118.714
06-29-2001,163.846
06-30-2001,155.856
07-01-2001,142.528
07-02-2001,131.25
07-03-2001,130.21
07-04-2001,112.366
07-05-2001,107.78
07-06-2001,98.309
07-07-2001,122.965
07-08-2001,108.254
07-09-2001,94.072
07-10-2001,88.877
07-11-2001,115.17
07-12-2001,154.034
07-13-2001,139.667
07-14-2001,122.019
07-15-2001,177.073
07-16-2001,259.771
07-17-2001,215.244
07-18-2001,197.426
07-19-2001,226.78
07-20-2001,221.326
07-21-2001,252.572
07-22-2001,198.072
07-23-2001,173.398
07-24-2001,168.709
07-25-2001,172.082
07-26-2001,176.492
07-27-2001,181.582
07-28-2001,177.253
07-29-2001,207.209
07-30-2001,259.955
07-31-2001,264.906
08-01-2001,243.462
08-02-2001,242.539
08-03-2001,281.95
08-04-2001,225.005
08-05-2001,188.78
08-06-2001,177.85
08-07-2001,164.357
08-08-2001,184.87
08-09-2001,177.926
08-10-2001,178.893
08-11-2001,182.393
08-12-2001,163.106
08-13-2001,226.794
08-14-2001,234.105
08-15-2001,245.768
08-16-2001,211.909
08-17-2001,220.406
08-18-2001,419.456
08-19-2001,429.247
08-20-2001,325.355
08-21-2001,343.082
08-22-2001,312.775
08-23-2001,354.247
