Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2001-02-01 00:00,2.09,25.16,0.00,0.00,25.10,0.0000,0.0001
2001-02-02 00:00,2.00,25.32,0.00,0.00,25.13,0.0000,0.0003
2001-02-03 00:00,1.89,24.39,0.00,0.00,25.14,0.0000,0.0001
2001-02-04 00:00,1.76,23.00,0.00,0.00,25.15,0.0000,0.0000
2001-02-05 00:00,1.63,21.85,0.00,0.00,25.15,0.0000,0.0000
2001-02-06 00:00,1.53,21.48,0.00,0.00,25.17,0.0000,0.0001
2001-02-07 00:00,1.42,22.10,0.00,0.00,25.17,0.0000,0.0000
2001-02-08 00:00,1.31,22.48,0.00,0.00,25.17,0.0000,0.0000
2001-02-09 00:00,1.25,23.12,0.00,0.00,25.18,0.0000,0.0001
2001-02-10 00:00,1.24,23.21,0.00,0.00,25.21,0.0000,0.0003
2001-02-11 00:00,1.21,23.00,0.00,0.00,25.23,0.0000,0.0001
2001-02-12 00:00,1.17,22.94,0.00,0.00,25.24,0.0000,0.0001
2001-02-13 00:00,1.13,22.32,0.00,0.00,25.26,0.0000,0.0001
2001-02-14 00:00,1.06,22.31,0.00,0.00,25.25,0.0000,0.0000
2001-02-15 00:00,0.99,22.01,0.00,0.00,25.25,0.0000,0.0000
2001-02-16 00:00,0.99,21.11,0.00,0.00,25.29,0.0000,0.0003
2001-02-17 00:00,0.99,21.74,0.00,0.00,25.31,0.0000,0.0002
2001-02-18 00:00,1.00,21.00,0.00,0.00,25.33,0.0000,0.0002
2001-02-19 00:00,1.08,21.22,0.01,0.00,25.40,0.0000,0.0005
2001-02-20 00:00,1.10,21.39,0.00,0.00,25.43,0.0000,0.0003
2001-02-21 00:00,2.45,21.84,0.06,0.00,25.92,0.0001,0.0044
2001-02-22 00:00,2.57,22.78,0.01,0.00,25.98,0.0000,0.0005
2001-02-23 00:00,4.25,21.11,0.08,0.00,26.61,0.0001,0.0056
2001-02-24 00:00,4.12,21.00,0.00,0.00,26.61,0.0000,0.0000
2001-02-25 00:00,3.70,21.00,0.00,0.00,26.62,0.0000,0.0001
2001-02-26 00:00,3.40,22.00,0.00,0.00,26.65,0.0000,0.0003
2001-02-27 00:00,3.14,22.10,0.00,0.00,26.67,0.0000,0.0002
2001-02-28 00:00,2.91,21.63,0.00,0.00,26.69,0.0000,0.0002
2001-03-01 00:00,2.68,21.27,0.00,0.00,26.70,0.0000,0.0001
2001-03-02 00:00,2.85,20.75,0.02,0.01,26.82,0.0000,0.0011
2001-03-03 00:00,2.73,20.75,0.00,0.01,26.84,0.0000,0.0002
2001-03-04 00:00,2.65,20.57,0.01,0.01,26.88,0.0000,0.0004
2001-03-05 00:00,5.19,20.36,0.10,0.01,27.63,0.0001,0.0069
2001-03-06 00:00,5.13,20.26,0.00,0.01,27.66,0.0000,0.0003
2001-03-07 00:00,4.62,19.65,0.00,0.01,27.67,0.0000,0.0001
2001-03-08 00:00,4.29,19.75,0.01,0.01,27.71,0.0000,0.0004
2001-03-09 00:00,3.90,19.93,0.00,0.01,27.74,0.0000,0.0002
2001-03-10 00:00,4.55,19.95,0.03,0.01,27.94,0.0000,0.0021
2001-03-11 00:00,4.11,19.63,0.00,0.01,27.94,0.0000,0.0000
2001-03-12 00:00,3.63,19.54,0.00,0.01,27.94,0.0000,0.0000
2001-03-13 00:00,3.21,19.91,0.00,0.01,27.94,0.0000,0.0000
2001-03-14 00:00,2.96,19.70,0.00,0.01,27.96,0.0000,0.0002
2001-03-15 00:00,2.75,19.76,0.00,0.01,27.98,0.0000,0.0002
2001-03-16 00:00,2.53,20.11,0.00,0.01,27.99,0.0000,0.0001
2001-03-17 00:00,2.45,20.13,0.00,0.01,28.02,0.0000,0.0004
2001-03-18 00:00,2.28,19.24,0.00,0.01,28.03,0.0000,0.0001
2001-03-19 00:00,2.08,19.24,0.00,0.01,28.03,0.0000,0.0000
2001-03-20 00:00,1.91,20.10,0.00,0.01,28.04,0.0000,0.0001
2001-03-21 00:00,1.75,20.03,0.00,0.01,28.04,0.0000,0.0000
2001-03-22 00:00,2.05,19.90,0.01,0.01,28.14,0.0000,0.0011
2001-03-23 00:00,4.36,21.62,0.11,0.01,29.00,0.0001,0.0083
2001-03-24 00:00,4.36,22.03,0.00,0.01,29.01,0.0000,0.0001
2001-03-25 00:00,4.00,21.88,0.00,0.01,29.03,0.0000,0.0002
2001-03-26 00:00,3.58,20.86,0.00,0.01,29.04,0.0000,0.0001
2001-03-27 00:00,3.19,21.93,0.00,0.01,29.04,0.0000,0.0000
2001-03-28 00:00,2.86,21.41,0.00,0.01,29.04,0.0000,0.0000
2001-03-29 00:00,3.28,22.95,0.02,0.01,29.15,0.0000,0.0014
2001-03-30 00:00,18.42,23.63,0.52,0.01,32.93,0.0123,0.0297
2001-03-31 00:00,21.69,52.37,0.08,0.01,33.49,0.0006,0.0065
2001-04-01 00:00,18.20,24.77,0.01,0.01,33.53,0.0000,0.0005
2001-04-02 00:00,14.86,22.77,0.00,0.01,33.53,0.0000,0.0000
2001-04-03 00:00,12.29,21.73,0.00,0.01,33.53,0.0000,0.0000
2001-04-04 00:00,10.35,21.01,0.00,0.01,33.53,0.0000,0.0001
2001-04-05 00:00,8.80,21.14,0.00,0.01,33.54,0.0000,0.0000
2001-04-06 00:00,7.56,21.67,0.00,0.01,33.54,0.0000,0.0000
2001-04-07 00:00,6.57,23.81,0.00,0.01,33.54,0.0000,0.0000
2001-04-08 00:00,6.67,24.96,0.02,0.01,33.67,0.0000,0.0016
2001-04-09 00:00,9.22,23.92,0.06,0.01,34.12,0.0001,0.0056
2001-04-10 00:00,13.39,33.55,0.08,0.01,34.70,0.0004,0.0076
2001-04-11 00:00,14.25,33.96,0.04,0.01,34.98,0.0000,0.0037
2001-04-12 00:00,21.97,33.94,0.15,0.01,35.97,0.0001,0.0136
2001-04-13 00:00,63.16,33.92,0.55,0.01,39.60,0.0165,0.0387
2001-04-14 00:00,47.81,52.07,0.00,0.01,39.60,0.0000,0.0001
2001-04-15 00:00,47.11,46.87,0.09,0.01,40.16,0.0001,0.0093
2001-04-16 00:00,38.76,45.10,0.03,0.01,40.32,0.0000,0.0026
2001-04-17 00:00,37.76,38.57,0.06,0.01,40.73,0.0001,0.0069
2001-04-18 00:00,30.58,40.97,0.01,0.01,40.81,0.0000,0.0013
2001-04-19 00:00,24.70,46.03,0.01,0.01,40.85,0.0000,0.0007
2001-04-20 00:00,21.00,43.06,0.01,0.01,40.92,0.0000,0.0012
2001-04-21 00:00,19.44,40.63,0.02,0.01,41.07,0.0000,0.0026
2001-04-22 00:00,17.23,41.47,0.01,0.01,41.14,0.0000,0.0012
2001-04-23 00:00,14.21,39.69,0.00,0.01,41.14,0.0000,0.0000
2001-04-24 00:00,11.88,38.42,0.00,0.01,41.14,0.0000,0.0000
2001-04-25 00:00,30.79,38.28,0.24,0.01,42.62,0.0002,0.0268
